year,gdprate,infrate,unemprate,gdppcrate
1980,1.32,13.595,5.589,0.658
1981,1.991,11.091,6.331,1.179
1982,0.223,8.316,7.598,-0.498
1983,3.185,5.974,7.918,2.521
1984,4.858,6.379,7.505,4.217
1985,3.71,5.384,7.352,3.108
1986,3.294,2.871,7.259,2.68
1987,3.811,3.167,6.889,3.173
1988,4.793,3.554,6.34,4.097
1989,3.968,4.728,5.885,3.226
1990,3.064,4.875,5.807,2.17
1991,1.595,4.727,6.415,0.633
1992,2.263,3.536,7.065,1.099
1993,1.342,3.19,7.552,0.049
1994,3.368,2.649,7.415,2.64
1995,2.924,2.624,7.097,1.488
1996,3.047,2.484,7.121,2.382
1997,3.479,2.098,6.873,2.823
1998,2.858,1.555,6.84,2.187
1999,3.646,1.396,6.577,2.991
2000,4.096,2.249,6.044,3.418
2001,1.599,2.186,6.077,0.971
2002,1.697,1.525,6.536,1.032
2003,2.059,1.846,6.734,1.417
2004,3.266,2.022,6.532,2.628
2005,2.837,2.325,6.262,2.173
2006,3.087,2.367,5.806,2.422
2007,2.712,2.19,5.42,2.007
2008,0.241,3.422,5.822,-0.454
2009,-3.291,0.177,8.064,-3.89
2010,3.102,1.54,8.316,2.527
2011,1.749,2.702,7.98,1.167
2012,1.203,1.979,8.027,0.691
2013,1.404,1.381,7.923,0.93
2014,2.089,1.382,7.287,1.581
2015,2.349,0.308,6.685,1.786
2016,1.747,0.755,6.226,1.223
2017,2.509,1.713,5.648,2.081
2018,2.223,1.962,5.114,1.817
2019,1.699,1.4,4.816,1.335
2020,-6.111,0.506,8.263,-6.486
2021,4.474,1.476,7.239,4.104
