year,gdprate,infrate,unemprate,gdppcrate
1980,2.163,10.183,7.517,0.908
1981,3.503,12.462,7.617,2.192
1982,-3.187,10.803,11.1,-4.339
1983,2.601,5.816,12,1.577
1984,5.908,4.339,11.375,4.911
1985,4.737,3.951,10.508,3.778
1986,2.145,4.174,9.608,1.149
1987,4.073,4.365,8.8,2.77
1988,4.41,4.031,7.775,3.03
1989,2.317,4.984,7.508,0.575
1990,0.165,4.78,8.15,-1.349
1991,-2.086,5.626,10.317,-3.327
1992,0.9,1.49,11.217,-0.3
1993,2.661,1.865,11.375,1.488
1994,4.494,0.166,10.392,3.381
1995,2.694,2.149,9.467,1.631
1996,1.619,1.571,9.608,0.565
1997,4.28,1.621,9.092,3.241
1998,3.896,0.996,8.292,3.012
1999,5.163,1.735,7.567,4.321
2000,5.178,2.719,6.833,4.216
2001,1.79,2.525,7.225,0.725
2002,3.018,2.258,7.667,1.908
2003,1.802,2.759,7.575,0.852
2004,3.087,1.857,7.158,2.124
2005,3.204,2.214,6.758,2.234
2006,2.634,2.002,6.292,1.608
2007,2.072,2.138,6.033,1.08
2008,1.004,2.37,6.158,-0.063
2009,-2.926,0.299,8.358,-4.029
2010,3.09,1.777,8,1.945
2011,3.146,2.912,7.5,2.123
2012,1.761,1.516,7.325,0.685
2013,2.329,0.938,7.1,1.251
2014,2.87,1.907,6.925,1.828
2015,0.659,1.125,6.9,-0.147
2016,1.001,1.429,6.992,-0.047
2017,3.171,1.597,6.342,1.928
2018,2.014,2.268,5.833,0.63
2019,1.636,1.949,5.667,0.193
2020,-6.226,0.61,7.474,-7.525
2021,4.246,1.261,7.214,3.126
