year,gdprate,infrate,unemprate,gdppcrate
1998,3.85,0.925,14.789,2.694
1999,-3.385,-1.167,16.061,-4.429
2000,-0.789,-0.939,17.134,-1.828
2001,-4.409,-1.065,19.209,-5.367
2002,-10.894,25.869,22.45,-11.748
2003,8.955,13.443,17.25,7.937
2004,8.911,4.416,13.625,7.896
2005,8.852,9.642,11.575,7.819
2006,8.047,10.898,10.175,6.998
2007,9.008,8.83,8.475,7.939
2008,4.057,8.585,7.875,3.038
2009,-5.919,6.27,8.675,-6.83
2010,10.125,10.461,7.75,8.36
2011,6.004,9.775,7.15,4.789
2012,-1.026,10.043,7.2,-2.145
2013,2.405,10.619,7.075,1.266
