year,gdprate,infrate,unemprate,gdppcrate
2000,2.508,4.601,7.462,0.58
2001,1.684,1.596,8.498,-0.194
2002,2.486,0.923,8.69,0.627
2003,2.711,3.338,8.708,0.88
2004,4.173,4.437,8.427,2.346
2005,4.421,5.4,8.146,2.617
2006,4.797,4.3,7.992,3.014
2007,4.564,6.656,7.668,2.813
2008,6.148,14.007,4.43,4.397
2009,3.357,3.345,4.913,1.674
2010,4.127,2.502,4.375,2.453
2011,5.204,9.884,3.837,3.534
2012,5.122,4.517,3.229,3.474
2013,6.796,5.737,4,3.406
2014,5.461,5.765,4,3.908
2015,4.857,4.061,4,3.281
2016,4.264,3.625,3.463,2.847
2017,4.195,2.822,3.63,2.625
2018,4.224,2.272,3.493,2.701
2019,2.8,1.839,4,1.299
2020,-2.9,2.262,8,-4.318
2021,2.9,4.352,4,1.397
