year,gdprate,infrate,unemprate,gdppcrate
1991,1.03,432.77,10.10,-0.66
1992,-0.56,951.96,11.60,-2.17
1993,4.91,1927.38,11.00,3.25
1994,5.84,2075.83,10.50,4.18
1995,4.23,66.01,9.90,2.63
1996,0.18,15.76,11.20,-2.67
1997,3.40,6.93,11.60,1.80
1998,0.35,3.20,14.70,-1.20
1999,0.47,4.86,14.70,-1.04
2000,4.38,7.04,13.90,2.88
2001,1.38,6.84,12.50,-0.02
2002,3.05,8.45,13.00,1.73
2003,1.14,14.71,13.70,-0.10
2004,5.76,6.60,12.90,4.51
2005,3.19,6.87,11.40,2.01
2006,3.96,4.18,11.50,2.80
2007,6.06,3.64,10.90,4.96
2008,5.10,5.68,9.40,4.01
2009,-0.12,4.89,9.70,-1.14
2010,7.55,5.04,8.50,6.49
2011,3.99,6.64,7.80,3.08
2012,1.93,5.40,7.40,1.05
2013,3.01,6.20,7.20,2.14
2014,0.51,6.33,6.78,-0.35
2015,-3.55,9.03,8.28,-4.38
2016,-3.29,8.74,11.26,-4.08
2017,1.31,3.45,12.77,0.51
2018,1.31,3.67,12.26,0.49
2019,1.13,3.73,11.93,0.34
2020,-5.30,3.56,14.70,-5.94
2021,2.89,3.31,13.50,2.23
