year,gdprate,infrate,unemprate,gdppcrate
1980,7.945,35.138,11.502,6.475
1981,6.212,19.687,10.291,4.477
1982,-13.588,9.941,19.814,-14.977
1983,-2.802,27.257,20.999,-4.34
1984,5.886,19.86,17.515,4.236
1985,1.968,30.703,14.975,0.404
1986,5.596,19.477,12.299,3.75
1987,6.581,19.881,10.984,4.75
1988,7.288,14.684,9.875,5.476
1989,10.605,17.028,7.98,8.768
1990,3.671,26.036,7.75,1.977
1991,7.715,21.815,8.217,5.763
1992,11.132,15.454,6.7,8.583
1993,6.722,12.743,6.5,5.042
1994,5.062,11.46,7.808,3.467
1995,8.844,8.229,7.375,7.259
1996,6.863,7.356,6.5,5.37
1997,7.414,6.127,6.108,5.977
1998,4.37,5.106,6.217,3.03
1999,-0.466,3.333,10.008,-1.697
2000,5.35,3.838,9.708,4.108
2001,3.297,3.565,9.867,2.121
2002,3.093,2.486,9.8,1.965
2003,4.082,2.811,9.533,2.997
2004,7.194,1.053,10.017,6.089
2005,5.762,3.053,9.3,4.708
2006,6.322,3.402,7.95,5.253
2007,4.912,4.413,7.008,3.832
2008,3.545,8.723,7.75,2.43
2009,-1.583,1.498,11.053,-2.652
2010,5.836,1.408,8.305,4.702
2011,6.124,3.335,7.3,4.954
2012,5.317,2.999,6.595,4.174
2013,4.048,1.789,6.082,3.053
2014,1.779,4.714,6.495,0.774
2015,2.32,4.348,6.328,1.273
2016,1.714,3.787,6.685,0.618
2017,1.174,2.182,6.965,-0.21
2018,3.939,2.318,7.377,2.098
2019,1.124,2.253,7.319,-0.759
2020,-4.486,3.374,9.709,-6.21
2021,5.274,2.926,8.88,3.887
