year,gdprate,infrate,unemprate,gdppcrate
1980,4.429,25.932,5.429,-1.228
1981,2.277,27.393,6.561,0.049
1982,0.948,24.86,7.1,-1.219
1983,1.574,19.526,8.694,-0.573
1984,3.351,16.283,8.986,1.203
1985,3.107,23.906,8.742,3.81
1986,5.824,18.848,7.654,3.673
1987,5.369,23.334,7.361,3.207
1988,4.064,28.1,6.451,1.929
1989,3.414,25.935,6.792,1.312
1990,4.282,29.115,6.637,2.201
1991,2.372,30.318,6.377,0.288
1992,4.353,27.02,5.935,2.307
1993,5.71,22.449,5.038,3.731
1994,5.147,22.851,4.914,3.281
1995,5.202,20.884,5.649,3.443
1996,2.056,20.803,7.8,0.421
1997,3.43,18.476,7.9,2.091
1998,0.57,18.65,9.7,-0.97
1999,-4.204,10.876,13.1,-5.411
2000,2.925,9.218,13.325,1.403
2001,1.678,7.958,14.975,0.387
2002,2.504,6.35,15.583,1.227
2003,3.918,7.12,14.108,2.627
2004,5.333,5.906,13.667,4.043
2005,4.707,5.05,11.808,3.435
2006,6.717,4.3,12.042,5.446
2007,6.738,5.545,11.192,5.472
2008,3.284,6.999,11.25,2.066
2009,1.139,4.196,12.017,-0.048
2010,4.495,2.265,11.775,3.275
2011,6.948,3.419,10.808,5.705
2012,3.912,3.172,10.367,2.715
2013,5.134,2.022,9.658,3.932
2014,4.499,2.906,9.092,3.313
2015,2.956,4.99,8.917,1.8
2016,2.087,7.507,9.217,0.946
2017,1.359,4.314,9.4,0.241
2018,2.515,3.237,9.7,1.4
2019,3.322,3.521,10.5,2.215
2020,-2.386,3.512,12.2,-3.353
2021,3.745,3.211,11.916,2.718
