year,gdprate,infrate,unemprate,gdppcrate
1981,-2.26,36.806,8.766,-5.15
1982,-7.285,90.271,9.405,-9.984
1983,2.859,32.503,9.231,-0.058
1984,8.028,12.013,5.361,4.967
1985,0.722,15.129,6.846,-2.231
1986,5.536,11.788,6.229,2.453
1987,4.765,16.806,5.577,1.88
1988,3.432,20.845,5.461,0.69
1989,5.666,16.491,3.774,2.965
1990,3.6,19.069,4.642,1.102
1991,2.263,28.665,5.5,-0.066
1992,9.197,21.807,4.1,6.816
1993,7.088,9.778,4.1,4.35
1994,4.487,13.544,4.2,1.462
1995,4.121,23.176,5.2,1.205
1996,1.238,17.506,6.2,-1.456
1997,5.565,13.25,5.7,2.912
1998,6.962,11.67,5.6,4.379
1999,3.943,10.045,6.022,1.488
2000,3.833,10.953,5.193,4.582
2001,3.49,11.26,6.072,-0.258
2002,3.292,9.169,6.403,1.519
2003,4.255,9.443,6.668,2.623
2004,4.337,12.318,6.495,2.693
2005,3.871,13.794,6.63,2.308
2006,7.238,11.473,5.962,5.649
2007,8.168,9.357,4.597,6.629
2008,4.65,13.427,4.948,3.136
2009,-0.971,7.839,7.822,-2.416
2010,4.952,5.664,9.213,3.003
2011,4.307,4.88,10.492,2.978
2012,4.797,4.495,9.849,3.446
2013,2.269,5.232,8.311,0.97
2014,3.515,4.519,9.658,2.229
2015,3.632,0.801,9.604,2.386
2016,4.246,-0.018,9.541,3.007
2017,3.86,1.628,9.293,2.666
2018,2.66,2.22,11.951,1.518
2019,2.084,2.097,12.417,1.017
2020,-3.292,1.537,12.5,-4.303
2021,2.971,2.252,10.5,1.895
