year,gdprate,infrate,unemprate,gdppcrate
1988,10.486,58.216,7,7.679
1989,0.285,75.648,7.9,-2.132
1990,3.008,48.519,6.1,0.628
1991,5.113,48.804,8.5,2.737
1992,3.614,54.341,8.9,1.324
1993,2,45,8.3,-0.173
1994,4.258,27.443,5.696,2.152
1995,2.253,22.886,5.493,0.33
1996,1.732,24.4,9.046,0.002
1997,4.328,30.6,7.828,2.69
1998,3.267,36.1,10.163,1.728
1999,-4.739,52.2,13.107,-6.121
2000,1.092,96.1,7.625,-0.394
2001,4.016,37.674,9.554,1.716
2002,4.097,12.485,7.828,1.878
2003,2.723,7.929,10.163,0.98
2004,8.211,2.741,7.219,6.356
2005,5.291,2.17,7.095,3.991
2006,4.404,3.299,6.687,2.584
2007,2.19,2.276,6.923,0.39
2008,6.357,8.4,5.95,4.462
2009,0.566,5.16,6.47,-1.246
2010,3.525,3.554,5.02,1.637
2011,7.868,4.475,4.21,6.072
2012,5.642,5.102,4.12,3.909
2013,4.947,2.722,4.15,3.258
2014,3.789,3.589,3.8,2.152
2015,0.099,3.966,4.77,-1.447
2016,-1.226,1.728,5.21,-2.72
2017,2.368,0.417,4.62,0.854
2018,1.289,-0.224,3.69,-0.177
2019,0.054,0.266,3.84,-1.363
2020,-6.271,-0.005,6.477,-7.569
2021,3.862,1.163,5.856,2.423
