year,gdprate,infrate,unemprate,gdppcrate
1988,1.878,19.772,10.154,0.465
1989,0.962,17.651,9.074,-0.61
1990,4.831,28.294,10,3.041
1991,1.494,14.409,8.7,0.124
1992,7.018,11.221,9.3,5.553
1993,5.819,18.505,9.9,4.39
1994,4.69,10.584,7.7,3.345
1995,4.735,10.03,7.6,3.494
1996,0.818,9.79,7.7,-0.269
1997,3.135,4.49,8,2.124
1998,2.654,2.549,7.3,1.743
1999,2.161,0.513,6.4,1.338
2000,1.126,2.274,6.7,0.386
2001,0.877,3.745,6.96,0.212
2002,1.581,1.869,6.23,0.982
2003,1.562,2.121,6.915,1.021
2004,0.891,4.452,6.78,0.393
2005,2.707,4.69,7.2,2.227
2006,4.343,4.035,6.6,3.875
2007,1.861,4.58,6.3,1.42
2008,2.127,7.258,5.9,1.695
2009,-2.083,0.537,7.3,-2.496
2010,2.106,1.179,7,1.674
2011,3.812,5.129,6.6,3.366
2012,2.814,1.73,6.1,2.363
2013,2.239,0.758,5.9,1.779
2014,1.71,1.141,7,1.24
2015,2.395,-0.731,7,1.91
2016,2.542,0.604,7.1,2.042
2017,2.253,1.014,7.049,1.741
2018,2.43,1.088,6.347,1.909
2019,2.385,0.074,6.733,1.857
2020,-5.44,0.064,7.9,-5.899
2021,4.46,0.6,7.5,3.949
