year,gdprate,infrate,unemprate,gdppcrate
1981,8.526,28.034,0.9,5.952
1982,-0.521,59.115,4.2,-2.832
1983,-3.486,101.805,6.1,-5.677
1984,3.411,65.439,5.6,1.125
1985,2.188,57.789,4.4,-0.006
1986,-3.079,86.449,4.3,-5.097
1987,1.722,131.959,3.883,-0.334
1988,1.283,113.503,3.542,-0.708
1989,4.106,19.919,2.925,2.108
1990,5.176,26.65,2.742,3.203
1991,4.215,22.609,2.692,2.302
1992,3.541,15.517,2.83,1.683
1993,2.738,9.763,3.43,0.94
1994,4.941,6.986,3.7,3.159
1995,-6.291,35.061,6.23,-7.832
1996,6.773,34.35,5.45,5.072
1997,6.847,20.597,3.73,5.194
1998,5.164,15.917,3.16,3.582
1999,2.754,16.566,2.5,1.248
2000,4.942,9.486,2.2,3.441
2001,-0.404,6.366,2.768,-1.793
2002,-0.04,5.037,2.978,-1.403
2003,1.446,4.55,3.4,0.072
2004,3.921,4.694,3.919,2.495
2005,2.308,3.99,3.478,0.87
2006,4.495,3.634,3.528,2.984
2007,2.291,3.969,3.61,0.783
2008,1.144,5.13,3.887,-0.358
2009,-5.286,5.296,5.328,-6.674
2010,5.118,4.155,5.273,3.617
2011,3.663,3.404,5.172,2.227
2012,3.642,4.111,4.891,2.247
2013,1.354,3.804,4.901,0.029
2014,2.804,4.019,4.824,1.499
2015,3.288,2.719,4.349,2.014
2016,2.911,2.82,3.883,1.68
2017,2.118,6.042,3.421,0.936
2018,2.136,4.898,3.33,0.992
2019,-0.146,3.635,3.268,-1.229
2020,-6.63,2.702,5.327,-7.613
2021,3.024,2.782,3.51,1.973
