year,gdprate,infrate,unemprate,gdppcrate
1995,5.912,11.118,16.907,2.854
1996,6.344,11.651,15.953,3.49
1997,3.967,9.189,14.274,1.282
1998,3.712,13.046,13.213,1.665
1999,7.036,11.212,10.683,4.939
2000,4.102,11.547,9.8,2.035
2001,2.961,7.357,6.4,0.891
2002,0.754,3.75,12.2,-1.269
2003,2.521,5.302,6.998,0.469
2004,5.312,8.47,6.537,3.214
2005,4.282,9.599,5.559,2.217
2006,3.805,9.14,5.193,3.069
2007,5.076,11.127,5.935,3.707
2008,3.436,19.826,6.062,2.098
2009,-3.293,3.687,8.158,-4.529
2010,4.41,5.455,7.829,3.096
2011,6.317,8.082,5.93,3.106
2012,6.496,7.194,5.912,5.191
2013,4.927,7.136,5.746,3.846
2014,4.785,6.036,6.557,3.705
2015,4.792,3.997,5.909,3.712
2016,4.563,3.524,4.481,3.485
2017,4.631,3.851,3.67,3.553
2018,-3.95,4.947,5.5,-4.94
2019,-3.879,5.376,6.127,-4.87
2020,-6,4.474,11.061,-5.547
2021,0,3.956,11.1,-0.732
