year,gdprate,infrate,unemprate,gdppcrate
1980,4.5,13.808,8.375,-1.183
1981,9.207,7.3,9.184,6.61
1982,5.348,4.251,10.981,2.887
1983,-4.491,2.103,11.573,-6.674
1984,2.709,1.583,12.216,0.399
1985,4.942,1.027,14.418,2.622
1986,3.568,-0.066,12.504,1.323
1987,-1.809,0.996,14.102,-3.902
1988,-13.38,0.359,18.78,-15.199
1989,1.562,0.116,18.939,-0.537
1990,8.099,0.769,16.719,5.906
1991,9.418,1.547,15.971,7.112
1992,8.203,1.751,14.674,5.936
1993,5.456,0.478,13.262,3.271
1994,2.849,1.332,14.008,0.741
1995,1.752,0.939,14.019,-0.311
1996,7.371,1.264,14.317,5.192
1997,6.48,1.255,13.37,4.328
1998,7.332,0.628,11.599,5.168
1999,3.878,1.3,9.532,1.804
2000,2.737,1.446,13.526,0.689
2001,0.558,0.314,14.026,-1.437
2002,2.247,0.998,13.489,0.241
2003,4.226,0.058,13.042,2.218
2004,7.508,0.475,11.749,5.474
2005,7.181,2.86,9.781,5.189
2006,8.541,2.458,8.662,6.557
2007,12.111,4.169,6.372,10.1
2008,9.856,8.759,5.579,7.923
2009,1.243,2.409,6.557,-0.501
2010,5.828,3.491,6.516,4.041
2011,11.314,5.876,4.481,9.461
2012,9.779,5.698,4.05,7.933
2013,6.903,4.027,4.098,5.148
2014,5.067,2.623,4.823,3.387
2015,5.733,0.137,5.052,4.08
2016,4.953,0.74,5.494,3.351
2017,5.599,0.876,6.13,4.025
2018,3.692,0.762,5.956,2.18
2019,3.006,-0.355,7.07,1.541
2020,-2.05,-0.906,8.798,-3.416
2021,4.027,0.498,8.432,1.987
