year,gdprate,infrate,unemprate,gdppcrate
1983,-3.043,12.807,8.3,-5.862
1984,2.817,20.938,7.3,-0.173
1985,3.872,24.845,5.1,0.852
1986,0.263,31.697,6.1,-2.821
1987,4.072,21.658,5.5,0.872
1988,5.881,22.594,4.7,2.625
1989,5.817,25.592,6.1,2.563
1990,4.12,38.162,6.6,4.12
1991,3.49,24.275,5.1,-2.814
1992,1.696,15.105,5.3,-0.338
1993,4.936,18.277,5.1,2.838
1994,5.318,20.596,4.4,3.212
1995,6.823,13.387,3.3,4.686
1996,1.574,9.798,8.2,-0.458
1997,4.243,6.95,5,2.158
1998,0.068,11.554,5.8,-1.933
1999,-1.366,6.751,6.8,-3.339
2000,-2.314,8.984,7.3,-4.268
2001,-0.834,7.268,7.6,-2.685
2002,-0.021,10.509,10.8,-1.837
2003,4.321,14.228,8.059,2.473
2004,4.057,4.332,7.307,2.256
2005,2.133,6.794,5.831,0.404
2006,4.807,9.595,6.653,3.067
2007,5.422,8.13,5.601,3.704
2008,6.359,10.155,5.728,4.658
2009,-0.258,2.592,6.398,-1.826
2010,11.144,4.651,5.674,9.421
2011,4.249,8.254,5.621,2.653
2012,-0.539,3.676,4.573,-2.044
2013,8.417,2.684,5.021,6.798
2014,4.861,5.029,6.038,3.314
2015,3.08,3.129,5.351,1.577
2016,4.313,4.087,5.998,2.81
2017,4.954,3.602,6.086,3.458
2018,3.681,3.976,6.236,2.221
2019,0.2,2.757,7.175,-1.197
2020,-1,2.909,7.065,-2.365
2021,4,3.158,6.366,2.58
