year,gdprate,infrate,unemprate,gdppcrate
1982,-0.32,64.46,6.40,-2.72
1983,-9.33,111.15,9.00,-11.46
1984,3.80,110.21,8.90,1.41
1985,2.09,163.40,4.59,-0.22
1986,12.11,77.92,5.30,9.60
1987,7.74,85.85,4.80,5.35
1988,-9.42,666.96,4.16,-11.39
1989,-13.42,3398.27,7.90,-15.24
1990,-5.09,7481.69,8.30,-7.00
1991,2.22,409.53,5.90,0.20
1992,-0.54,73.53,9.40,-2.46
1993,5.24,48.58,9.90,3.27
1994,12.31,23.74,8.80,10.26
1995,7.41,11.13,7.10,5.51
1996,2.80,11.55,7.20,1.02
1997,6.48,8.55,8.60,4.67
1998,-0.39,7.26,6.90,-2.03
1999,1.50,3.47,9.40,-0.12
2000,2.70,3.76,7.85,1.13
2001,0.62,1.98,9.25,-0.84
2002,5.45,0.19,9.42,3.98
2003,4.17,2.26,9.42,2.77
2004,4.96,3.66,9.44,3.60
2005,6.29,1.62,9.58,4.95
2006,7.53,2.00,8.54,6.23
2007,8.52,1.78,8.42,7.26
2008,9.14,5.79,8.38,7.91
2009,1.05,2.94,8.39,-0.08
2010,8.45,1.53,7.88,7.24
2011,6.45,3.37,7.73,5.25
2012,5.95,3.66,6.80,4.76
2013,5.84,2.81,5.95,4.66
2014,2.39,3.25,5.94,1.27
2015,3.27,3.55,6.49,2.16
2016,4.05,3.59,6.74,2.94
2017,2.48,2.80,6.88,1.39
2018,3.97,1.32,6.70,2.88
2019,2.16,2.14,6.60,-0.92
2020,-4.53,1.71,7.11,-5.48
2021,5.25,1.79,7.30,4.21
