year,gdprate,infrate,unemprate,gdppcrate
1983,-3.281,49.198,14.5,-3.9
1984,-1.092,55.305,14,-1.721
1985,1.475,72.222,13.1,0.835
1986,8.857,76.38,10.1,8.245
1987,7.933,63.567,9.1,7.33
1988,1.467,62.192,8.6,0.87
1989,1.104,80.447,8,0.545
1990,0.297,112.526,8.5,-0.254
1991,3.539,101.972,8.9,2.94
1992,7.932,68.456,9,7.288
1993,2.658,54.081,8.3,2.045
1994,7.281,44.736,9.2,6.276
1995,-1.448,42.248,10.3,-2.06
1996,5.578,28.342,11.9,4.926
1997,5.048,19.819,11.558,3.848
1998,4.28,10.809,10.125,3.457
1999,-2.965,5.661,11.2,-3.649
2000,-1.776,4.761,13.4,-2.173
2001,-3.461,4.366,15.192,-3.528
2002,-7.051,13.967,16.75,-6.918
2003,2.327,19.379,17.15,2.581
2004,4.64,9.159,13.342,4.545
2005,6.806,4.7,12.142,6.457
2006,4.099,6.398,10.783,3.923
2007,6.542,8.115,9.4,6.517
2008,7.176,7.877,7.925,7.04
2009,4.243,7.062,7.783,3.78
2010,7.803,6.699,7.025,7.212
2011,5.162,8.093,6.342,4.671
2012,3.538,8.098,6.325,3.12
2013,4.638,8.575,6.5,4.221
2014,3.239,8.877,6.625,2.834
2015,0.371,8.666,7.533,-0.016
2016,1.69,9.639,7.867,1.305
2017,2.591,6.218,7.925,2.21
2018,1.62,7.607,8.367,1.25
2019,0.222,7.882,9.42,-0.136
2020,-3,8.794,10.546,-3.34
2021,5,7.87,8.098,4.641
