year,gdprate,infrate,unemprate,gdppcrate
1999,-5.97,23.57,14.53,-7.81
2000,3.69,16.21,14.01,0.28
2001,3.39,12.53,13.36,1.69
2002,-8.86,22.43,16.00,-10.34
2003,-7.76,31.09,18.19,-9.23
2004,18.29,21.75,15.07,16.42
2005,10.32,15.96,12.24,8.60
2006,9.87,13.66,9.96,8.18
2007,8.75,18.70,8.49,7.10
2008,5.28,31.44,7.35,3.70
2009,-3.20,26.04,7.88,-4.64
2010,-1.49,28.19,8.51,-2.93
2011,4.18,26.09,8.20,2.67
2012,5.63,21.07,7.82,4.11
2013,1.34,40.64,7.47,-0.09
2014,-3.89,62.17,6.70,-5.23
2015,-6.22,121.74,7.40,-7.49
2016,-17.04,254.95,20.86,-17.29
2017,-15.67,438.12,27.89,-14.92
2018,-19.62,65374.08,35.54,-15.23
