year,gdprate,infrate,unemprate,gdppcrate
1980,2.314,6.325,1.6,2.314
1981,-0.099,6.807,2.2,-0.3
1982,1.908,5.44,3.1,1.78
1983,2.804,3.335,3.7,3.108
1984,0.332,5.665,3.8,0.321
1985,2.243,3.19,3.6,2.174
1986,2.341,1.737,3.1,2.234
1987,1.681,1.408,3.8,1.545
1988,0.961,1.868,2.676,0.833
1989,3.887,2.249,2.348,3.641
1990,4.346,2.779,2.723,3.656
1991,3.442,3.116,3.151,2.555
1992,2.094,3.426,3.29,0.942
1993,0.527,3.234,3.958,-0.539
1994,2.402,2.711,3.85,1.805
1995,2.668,1.611,4.242,2.415
1996,2.398,1.771,4.717,2.26
1997,2.094,1.167,4.758,1.978
1998,3.581,0.816,4.708,3.468
1999,3.556,0.516,4.142,3.355
2000,3.376,1.956,3.883,3.127
2001,1.267,2.302,4.008,0.88
2002,1.652,1.684,4.392,1.151
2003,0.941,1.301,4.792,0.492
2004,2.735,1.963,5.5,2.091
2005,2.244,2.1,5.642,1.55
2006,3.454,1.69,5.233,2.92
2007,3.727,2.199,4.867,3.387
2008,1.46,3.228,4.092,1.139
2009,-3.765,0.405,5.333,-3.995
2010,1.837,1.694,4.842,1.599
2011,2.923,3.542,4.592,2.586
2012,0.68,2.566,4.917,0.229
2013,0.026,2.12,5.333,-0.575
2014,0.661,1.466,5.608,-0.125
2015,1.015,0.808,5.742,0.013
2016,2.083,0.972,6.033,0.794
2017,2.476,2.228,5.517,1.606
2018,2.42,2.12,4.883,1.613
2019,1.585,1.49,4.517,0.839
2020,-6.997,0.44,5.5,-7.63
2021,4.51,1.699,5,3.852
