year,gdprate,infrate,unemprate,gdppcrate
1980,4.444,6.656,8.3,3.842
1981,-0.279,7.626,10,-0.363
1982,0.595,8.723,11.5,0.685
1983,0.312,7.663,10.742,0.277
1984,2.466,6.348,10.825,2.518
1985,1.652,4.868,10.117,1.603
1986,1.823,1.296,10.05,1.811
1987,2.307,1.554,9.808,2.246
1988,4.723,1.162,8.833,4.607
1989,3.469,3.105,7.367,2.928
1990,3.137,3.453,6.558,2.928
1991,1.833,3.167,6.45,1.433
1992,1.531,2.257,7.092,1.176
1993,-0.962,2.485,8.625,-1.418
1994,3.227,2.396,9.75,2.897
1995,2.385,1.267,9.683,2.082
1996,1.321,1.765,9.55,1.197
1997,3.794,1.503,9.217,3.517
1998,1.962,0.907,9.342,1.741
1999,3.543,1.135,8.425,3.325
2000,3.717,2.679,6.858,3.46
2001,1.1,2.435,6.567,0.86
2002,1.707,1.548,7.525,1.25
2003,1.038,1.517,8.175,0.588
2004,3.571,1.857,8.383,3.167
2005,2.322,2.537,8.475,1.837
2006,2.552,2.328,8.267,1.913
2007,3.677,1.816,7.492,2.961
2008,0.447,4.489,6.967,-0.328
2009,-2.021,-0.006,7.908,-2.806
2010,2.864,2.334,8.325,2.04
2011,1.695,3.353,7.15,0.209
2012,0.739,2.626,7.55,0.055
2013,0.459,1.248,8.45,-0.101
2014,1.579,0.49,8.55,1.189
2015,2.033,0.62,8.492,1.52
2016,1.511,1.77,7.842,0.848
2017,1.965,2.224,7.108,1.6
2018,1.458,2.311,5.958,1.041
2019,1.365,1.249,5.358,0.861
2020,-6.924,0.253,7.3,-7.404
2021,4.564,1.09,6.8,4.024
