year,gdprate,infrate,unemprate,gdppcrate
1989,-0.5,6.404,0.025,-0.063
1990,-9.1,23.9,2.9,-8.523
1991,-10.755,333.5,6.78,-9.997
1992,-8.426,82,13.24,-7.469
1993,-11.625,72.804,15.84,-10.591
1994,-3.665,96,14.05,-2.514
1995,-1.601,62.1,11.37,-0.48
1996,-8.043,123,10.988,-7.075
1997,-14.193,1061.21,14.023,-13.529
1998,4.285,18.679,12.367,5.019
1999,-8.281,2.572,13.79,-7.845
2000,4.782,10.318,18.134,3.721
2001,3.817,7.358,17.514,7.217
2002,5.953,5.813,17.416,6.565
2003,5.152,2.348,13.857,5.752
2004,6.442,6.149,12.192,6.994
2005,7.154,6.038,10.177,7.741
2006,6.802,7.416,9.022,7.351
2007,6.557,7.572,6.935,7.102
2008,6.086,11.951,5.664,6.555
2009,-3.424,2.469,6.878,-2.877
2010,0.57,3.039,10.306,1.358
2011,2.351,3.386,11.35,4.832
2012,0.361,2.391,12.379,0.948
2013,0.319,0.385,13.038,0.857
2014,1.895,-1.601,11.524,2.51
2015,3.99,-1.067,9.233,4.693
2016,3.812,-1.323,7.666,4.571
2017,3.507,1.188,6.23,4.267
2018,3.084,2.631,5.2,3.82
2019,3.372,2.457,4.2,3.891
2020,-4,1.029,8,-3.45
2021,6.04,1.948,4.5,6.68
