year,gdprate,infrate,unemprate,gdppcrate
1993,-8.00,1518.53,14.78,-5.90
1994,5.90,97.51,14.48,8.24
1995,6.63,1.96,14.50,8.35
1996,5.87,3.64,9.95,4.90
1997,6.65,3.71,9.91,4.83
1998,1.86,6.71,11.64,3.47
1999,-0.94,4.01,18.63,-2.09
2000,3.75,4.61,20.59,7.85
2001,3.35,3.78,21.51,5.17
2002,5.12,1.67,21.78,5.12
2003,5.64,1.77,19.07,5.62
2004,4.16,2.06,17.78,1.04
2005,4.31,3.32,17.58,4.24
2006,5.00,3.19,16.53,5.05
2007,5.27,2.90,14.73,5.36
2008,1.76,6.08,13.03,1.81
2009,-7.36,2.38,14.52,-7.26
2010,-1.50,1.03,17.17,-1.25
2011,-0.31,2.27,17.37,2.88
2012,-2.24,3.41,18.60,-1.94
2013,-0.55,2.22,19.81,-0.27
2014,-0.10,-0.22,19.28,0.32
2015,2.44,-0.46,17.07,3.27
2016,3.48,-1.13,14.96,4.23
2017,3.14,1.13,12.43,4.36
2018,2.70,1.50,9.86,3.60
2019,2.92,0.77,7.80,3.65
2020,-9.02,1.33,11.50,-8.51
2021,4.95,1.18,8.00,5.80
