year,gdprate,infrate,unemprate,gdppcrate
1996,4.525,8.78,3.9,4.645
1997,-0.595,8.629,4.775,-0.477
1998,-0.329,10.7,6.491,-0.232
1999,1.433,2.16,8.72,1.527
2000,4.267,3.763,8.757,4.384
2001,2.909,4.686,8.113,3.372
2002,1.652,1.881,7.27,1.96
2003,3.603,0.119,7.77,3.69
2004,4.907,2.749,8.344,4.879
2005,6.533,1.878,7.932,6.497
2006,6.854,2.523,7.128,6.595
2007,5.603,2.873,5.306,5.287
2008,2.682,6.318,4.381,1.797
2009,-4.803,1.029,6.706,-5.555
2010,2.273,1.473,7.284,1.919
2011,1.778,1.917,6.716,1.539
2012,-0.8,3.279,6.959,-0.977
2013,-0.484,1.439,6.942,-0.585
2014,2.715,0.352,6.097,2.751
2015,5.309,0.326,5.04,5.051
2016,2.451,0.667,3.946,2.299
2017,4.353,2.451,2.89,4.106
2018,2.846,2.158,2.243,2.543
2019,2.566,2.856,2.001,2.183
2020,-6.5,2.073,7.5,-6.63
2021,7.501,2,6,7.349
