year,gdprate,infrate,unemprate,gdppcrate
1980,-0.484,11.339,5.287,-0.689
1981,-0.658,11.718,7.133,-0.696
1982,3.678,10.146,7.602,3.776
1983,2.594,6.835,8.375,2.648
1984,4.172,6.343,7.925,4.26
1985,4.005,4.662,6.617,4.025
1986,4.9,3.718,4.983,4.795
1987,0.254,3.979,5,0.088
1988,-0.008,4.525,5.658,-0.095
1989,0.642,4.78,6.825,0.632
1990,1.473,6.836,7.167,1.361
1991,1.397,2.167,7.867,1.179
1992,1.959,1.944,8.608,1.65
1993,0.008,0.872,9.533,-0.349
1994,5.329,1.841,7.733,5.004
1995,3.029,2.038,6.758,2.652
1996,2.905,2.092,6.317,2.213
1997,3.26,1.933,5.242,2.788
1998,2.213,1.314,4.883,1.832
1999,2.948,2.041,5.108,2.586
2000,3.749,2.751,4.317,3.429
2001,0.823,2.269,4.508,0.461
2002,0.467,2.397,4.642,0.109
2003,0.388,1.961,5.433,0.106
2004,2.668,0.937,5.517,2.399
2005,2.342,1.726,4.8,2.081
2006,3.912,1.844,3.9,3.604
2007,0.908,1.657,3.775,0.544
2008,-0.511,3.638,3.717,-1.032
2009,-4.905,1.042,6.392,-5.521
2010,1.868,2.198,7.742,1.439
2011,1.336,2.656,7.75,0.865
2012,0.229,2.354,7.8,-0.128
2013,0.935,0.522,7.383,0.537
2014,1.616,0.352,6.867,1.172
2015,2.343,0.226,6.283,1.756
2016,3.248,0.017,6.017,2.388
2017,2.037,1.058,5.817,1.3
2018,2.389,0.709,5.083,1.815
2019,2.367,0.729,5.033,1.928
2020,-6.5,0.7,6.5,-7.04
2021,6,1.2,6.025,5.38
