year,gdprate,infrate,unemprate,gdppcrate
1980,5.673,11.602,5.288,5.38
1981,1.294,12,5.743,0.945
1982,3.087,9.3,6.076,2.565
1983,3.122,8.4,6.147,2.492
1984,3.213,7,5.928,2.617
1985,3.537,5.82,6.049,3.031
1986,2.726,2.9,6.665,2.372
1987,3.559,4.082,4.9,3.244
1988,5.211,5.135,4.208,4.935
1989,5.087,6.572,3.108,4.753
1990,0.211,4.957,3.2,-0.192
1991,-5.886,4.545,6.7,-6.34
1992,-3.294,3.254,11.8,-3.881
1993,-0.662,3.326,16.5,-1.173
1994,3.964,1.614,16.7,3.494
1995,4.217,0.398,15.5,3.791
1996,3.667,1.063,14.6,3.301
1997,6.334,1.217,12.7,6.013
1998,5.457,1.349,11.5,5.149
1999,4.38,1.31,10.275,4.131
2000,5.773,2.952,9.875,5.535
2001,2.61,2.665,9.2,2.415
2002,1.707,2.007,9.175,1.437
2003,2.004,1.29,9.075,1.78
2004,3.992,0.147,8.875,3.724
2005,2.78,0.774,8.475,2.448
2006,4.028,1.275,7.775,3.653
2007,5.299,1.583,6.95,4.872
2008,0.784,3.916,6.425,0.337
2009,-8.075,1.634,8.325,-8.52
2010,3.186,1.686,8.5,2.702
2011,2.548,3.324,7.775,2.093
2012,-1.397,3.162,7.683,-1.872
2013,-0.902,2.216,8.192,-1.366
2014,-0.365,1.209,8.658,-0.814
2015,0.544,-0.156,9.375,0.167
2016,2.711,0.389,8.792,2.419
2017,3.101,0.839,8.575,2.801
2018,1.63,1.169,7.417,1.448
2019,0.98,1.137,6.717,0.892
2020,-6.031,0.94,8.265,-6.212
2021,3.096,1.676,8.383,2.907
