year,gdprate,infrate,unemprate,gdppcrate
1980,1.809,13.057,6.349,1.334
1981,1.069,13.333,7.438,0.513
1982,2.505,11.978,8.069,1.927
1983,1.241,9.46,7.383,0.657
1984,1.514,7.674,8.458,1.061
1985,1.623,5.831,8.7,1.139
1986,2.337,2.539,8.875,1.868
1987,2.562,3.289,9.15,2.064
1988,4.743,2.701,8.842,4.211
1989,4.344,6.569,8.7,3.781
1990,2.924,0.323,8.4,2.365
1991,1.048,3.406,8.617,0.579
1992,1.599,2.455,9.442,1.119
1993,-0.629,2.234,10.267,-1.077
1994,2.358,1.666,10.667,2.01
1995,2.107,1.769,10.508,1.775
1996,1.413,2.081,10.833,1.092
1997,2.336,1.267,10.892,2.019
1998,3.589,0.675,10.692,3.264
1999,3.421,0.576,10.442,3.072
2000,3.924,1.815,9.175,3.285
2001,1.984,1.783,8.458,1.281
2002,1.136,1.94,8.275,0.425
2003,0.823,2.168,8.508,0.125
2004,2.83,2.336,8.825,2.144
2005,1.663,1.887,8.892,0.9
2006,2.449,1.892,8.825,1.721
2007,2.425,1.608,7.983,1.769
2008,0.255,3.16,7.458,-0.293
2009,-2.873,0.101,9.083,-3.388
2010,1.949,1.738,9.25,1.463
2011,2.193,2.289,9.2,1.698
2012,0.313,2.213,9.758,-0.171
2013,0.576,0.99,10.3,0.068
2014,0.956,0.612,10.283,0.436
2015,1.113,0.09,10.367,0.684
2016,1.095,0.305,10.042,0.832
2017,2.26,1.162,9.425,1.991
2018,1.725,2.1,9.025,1.57
2019,1.31,1.3,8.45,1.179
2020,-7.18,0.288,10.398,-7.424
2021,4.47,0.699,10.397,4.186
