year,gdprate,infrate,unemprate,gdppcrate
1980,1.272,5.447,3.359,0.931
1981,0.11,6.324,4.831,-0.078
1982,-0.788,5.256,6.734,-0.717
1983,1.555,3.284,8.099,1.91
1984,2.826,2.396,8.058,3.243
1985,2.192,2.084,8.124,2.445
1986,2.417,-0.125,7.834,2.347
1987,1.469,0.242,7.843,1.451
1988,3.736,1.274,7.735,3.108
1989,3.913,2.778,6.79,2.885
1990,5.723,2.687,6.155,3.734
1991,5.011,3.474,5.47,3.666
1992,1.925,5.046,6.592,1.258
1993,-0.976,4.476,7.775,-1.522
1994,2.395,2.717,8.425,2.141
1995,1.541,1.733,8.233,1.341
1996,0.814,1.274,8.908,0.618
1997,1.79,1.496,9.658,1.735
1998,2.019,0.607,9.383,2.099
1999,1.885,0.657,8.558,1.915
2000,2.905,1.413,7.95,2.862
2001,1.689,1.911,7.8,1.613
2002,-0.201,1.295,8.6,-0.276
2003,-0.708,1.084,9.708,-0.671
2004,1.186,1.75,10.333,1.301
2005,0.728,1.939,11.008,0.876
2006,3.815,1.795,10.042,4.024
2007,2.975,2.29,8.567,3.206
2008,0.965,2.726,7.383,1.25
2009,-5.694,0.246,7.667,-5.365
2010,4.185,1.119,6.933,4.443
2011,3.913,2.501,5.858,3.925
2012,0.428,2.141,5.367,0.239
2013,0.431,1.607,5.233,0.157
2014,2.218,0.761,5.008,1.792
2015,1.742,0.671,4.625,0.866
2016,2.23,0.375,4.158,1.408
2017,2.465,1.711,3.758,2.083
2018,1.522,1.951,3.4,1.218
2019,0.565,1.346,3.158,0.322
2020,-6.952,0.322,3.886,-6.961
2021,5.151,1.183,3.452,5.215
