year,gdprate,infrate,unemprate,gdppcrate
1980,0.679,24.668,2.663,-0.076
1981,-1.556,24.353,4,-2.74
1982,-1.13,21.42,5.8,-1.708
1983,-1.078,19.859,7.9,-1.716
1984,2.007,18.419,8.1,1.48
1985,2.513,19.531,7.8,2.023
1986,0.515,23.113,7.4,0.216
1987,-2.257,16.361,7.4,-2.611
1988,4.288,13.48,7.7,3.97
1989,3.799,13.706,7.5,3.363
1990,0,20.347,7,-0.62
1991,3.102,19.498,7.7,1.578
1992,0.697,15.869,8.7,-0.22
1993,-1.599,14.352,9.7,-2.201
1994,2,10.881,9.6,1.427
1995,2.1,8.818,10,1.653
1996,2.862,7.873,10.3,2.353
1997,4.484,5.441,10.3,4.081
1998,3.895,4.517,11.2,3.273
1999,3.072,2.141,12.125,2.549
2000,3.92,2.897,11.35,3.651
2001,4.132,3.642,10.775,3.552
2002,3.923,3.921,10.35,3.424
2003,5.795,3.45,9.775,5.528
2004,5.061,3.02,10.6,4.825
2005,0.599,3.486,10,0.328
2006,5.652,3.314,9,5.318
2007,3.274,2.989,8.4,2.981
2008,-0.335,4.23,7.75,-0.56
2009,-4.301,1.347,9.6,-4.592
2010,-5.478,4.704,12.725,-5.687
2011,-9.132,3.118,17.85,-9.166
2012,-7.3,1.035,24.425,-6.991
2013,-3.242,-0.854,27.475,-2.514
2014,0.74,-1.394,26.5,1.448
2015,-0.438,-1.094,24.9,0.193
2016,-0.191,0.013,23.55,0.497
2017,1.505,1.138,21.45,1.652
2018,1.934,0.774,19.3,2.191
2019,1.87,0.517,17.3,2.028
2020,-10.04,-0.456,22.328,-9.821
2021,5.064,1.015,18.987,5.333
