year,gdprate,infrate,unemprate,gdppcrate
1980,0.215,9.286,0.607,0.005
1981,2.867,4.511,0.232,2.905
1982,2.841,7.016,0.154,2.944
1983,0.723,6.403,0.173,0.943
1984,2.658,8.651,0.117,2.96
1985,-0.253,7.007,0.041,0.139
1986,1.535,5.292,0.212,1.909
1987,4.051,8.682,0.315,4.553
1988,-0.065,15.788,0.463,0.365
1989,0.736,16.95,0.531,1.149
1990,-3.497,28.97,2.082,-3.065
1991,-11.892,34.234,8.415,-11.878
1992,-3.064,22.95,9.303,-3.069
1993,-0.576,22.451,11.29,-0.494
1994,2.947,18.866,10.118,3.097
1995,2.541,28.303,10.17,2.673
1996,0.082,23.463,9.886,0.238
1997,3.143,18.294,8.731,3.343
1998,3.9,14.168,7.8,4.112
1999,3.071,10.021,6.95,3.342
2000,4.479,9.784,6.4,4.796
2001,4.074,9.157,5.725,4.299
2002,4.741,5.265,5.8,4.999
2003,4.085,4.663,5.85,4.423
2004,4.823,6.751,6.075,5.082
2005,4.244,3.556,7.2,4.44
2006,4.031,3.916,7.475,4.248
2007,0.242,7.967,7.4,0.352
2008,1.058,6.051,7.816,1.27
2009,-6.7,4.201,10.031,-6.569
2010,0.664,4.867,11.171,0.835
2011,1.819,3.921,11.028,2.105
2012,-1.472,5.668,11.003,-0.936
2013,1.963,1.721,10.178,2.2
2014,4.195,-0.222,7.726,4.533
2015,3.846,-0.07,6.814,4.067
2016,2.2,0.419,5.115,2.47
2017,4.323,2.408,4.156,4.664
2018,5.094,2.849,3.708,5.309
2019,4.928,3.371,3.418,4.981
2020,-3.1,3.337,5.395,-3.05
2021,4.2,3.171,3.983,4.253
