year,gdprate,infrate,unemprate,gdppcrate
1980,5.738,58.548,0.313,4.607
1981,4.265,50.864,0.365,3.183
1982,2.154,51.019,0.67,0.898
1983,-2.151,84.275,1.022,-3.545
1984,4.129,29.17,1.254,2.872
1985,3.293,32.376,0.906,2.353
1986,6.27,21.273,0.656,5.57
1987,8.546,18.763,0.441,7.677
1988,-0.09,25.456,0.636,-1.464
1989,0.258,14.503,1.658,-1.476
1990,1.169,15.513,2.594,0.426
1991,-0.224,6.809,2.457,-1.035
1992,-3.374,3.959,4.19,-4.81
1993,1.313,4.083,5.297,0.287
1994,3.609,1.55,5.315,2.562
1995,0.117,1.655,4.794,-0.601
1996,4.785,2.252,3.698,4.402
1997,4.945,1.796,3.749,4.2
1998,7.095,1.703,2.86,6.11
1999,4.043,3.22,2.034,2.786
2000,4.892,5.12,2.178,3.637
2001,3.899,6.396,2.335,2.318
2002,0.681,5.177,3.076,-0.448
2003,2.268,2.062,3.358,1.596
2004,8.042,3.152,3.05,7.262
2005,6.33,4,2.583,5.241
2006,5.249,6.674,2.875,3.033
2007,9.365,5.066,2.292,6.599
2008,1.992,12.678,2.983,-0.526
2009,-6.777,12.003,7.233,-7.918
2010,-3.436,5.397,7.558,-2.907
2011,1.882,4,7.05,1.619
2012,1.296,5.187,6.025,0.94
2013,4.134,3.872,5.392,3.396
2014,2.083,2.044,4.958,0.887
2015,4.749,1.634,3.992,3.657
2016,6.627,1.696,3.008,5.528
2017,4.546,1.761,2.825,2.748
2018,3.814,2.684,2.742,0.805
2019,1.919,3.013,3.55,-0.52
2020,-7.206,2.28,8,-8.939
2021,6.048,2.5,7,4.35
