year,gdprate,infrate,unemprate,gdppcrate
1981,-0.514,6.8,4.583,-1.337
1982,-1.283,5.9,6.525,-1.817
1983,1.758,2.9,8.254,1.377
1984,3.118,3.4,8.09,2.724
1985,2.656,2.3,7.327,2.236
1986,3.126,0,6.52,2.589
1987,1.85,-1,6.337,1.253
1988,4.585,0.5,6.247,3.876
1989,4.481,1.1,5.674,3.843
1990,4.178,2.5,5.112,3.567
1991,2.451,3.175,4.799,1.647
1992,1.589,2.838,4.865,0.792
1993,1.264,1.645,5.53,0.533
1994,3.009,2.12,6.193,2.321
1995,2.773,1.346,7.733,2.223
1996,3.494,1.448,7.099,3.028
1997,4.328,1.855,6.101,3.837
1998,4.668,1.784,4.93,4.086
1999,5.032,2.039,4.139,4.326
2000,4.199,2.344,3.66,3.518
2001,2.328,5.115,3.137,1.54
2002,0.217,3.853,3.665,-0.519
2003,0.158,2.224,4.833,-0.382
2004,1.983,1.385,5.665,1.573
2005,2.047,1.491,5.882,1.749
2006,3.462,1.653,5.014,3.28
2007,3.772,1.587,4.161,3.621
2008,2.172,2.212,3.663,1.877
2009,-3.667,0.972,4.359,-4.137
2010,1.341,0.93,4.995,0.796
2011,1.55,2.47,4.984,1.057
2012,-1.031,2.818,5.832,-1.472
2013,-0.127,2.556,7.257,-0.42
2014,1.424,0.32,7.434,1.124
2015,1.958,0.218,6.891,1.527
2016,2.192,0.114,6.024,1.72
2017,2.911,1.297,4.854,2.294
2018,2.597,1.602,3.839,2.003
2019,1.811,2.673,3.39,1.515
2020,-7.493,0.495,6.5,-7.761
2021,2.983,1.154,5,2.686
