year,gdprate,infrate,unemprate,gdppcrate
1980,4.515,10.912,1.65,4.125
1981,1.598,13.643,2.001,1.234
1982,0.235,11.341,2.606,-0.14
1983,3.973,8.465,3.426,3.675
1984,6.052,6.218,3.147,5.758
1985,5.553,5.715,2.588,5.215
1986,4.042,7.176,1.962,3.673
1987,1.753,8.717,2.084,1.165
1988,-0.255,6.676,3.149,-0.785
1989,1.038,4.546,4.908,0.742
1990,1.932,4.131,5.229,1.532
1991,3.085,3.438,5.469,2.501
1992,3.574,2.328,5.915,2.967
1993,2.845,2.288,5.948,2.237
1994,5.055,1.376,5.393,4.485
1995,4.155,2.46,4.906,3.642
1996,5.028,1.263,4.833,4.484
1997,5.285,2.567,4.034,4.793
1998,2.624,2.252,3.186,1.994
1999,2.013,2.366,3.172,1.266
2000,3.205,3.086,3.426,2.575
2001,2.075,3.004,3.546,1.655
2002,1.446,1.287,3.889,0.824
2003,0.91,2.488,4.494,0.345
2004,3.969,0.454,4.471,3.375
2005,2.625,1.532,4.616,1.903
2006,2.4,2.329,3.444,1.522
2007,2.994,0.713,2.539,1.909
2008,0.476,3.754,2.747,-0.896
2009,-1.727,2.197,3.266,-2.856
2010,0.702,2.419,3.794,-0.641
2011,0.981,1.285,3.364,-0.336
2012,2.703,0.697,3.294,1.376
2013,1.034,2.12,3.773,-0.119
2014,1.969,2.042,3.617,0.78
2015,1.967,2.171,4.531,1.008
2016,1.072,3.55,4.74,0.172
2017,2.323,1.875,4.216,1.586
2018,1.29,2.765,3.854,0.649
2019,1.151,2.168,3.728,0.531
2020,-6.269,2.4,13,-6.828
2021,2.949,2.2,7,2.335
