year,gdprate,infrate,unemprate,gdppcrate
1990,-7.171,585.8,6.3,-8.051
1991,-7.005,70.3,11.8,-7.248
1992,2.033,43,13.6,1.767
1993,4.287,35.3,16.4,3.975
1994,5.239,32.2,11.4,5.021
1995,6.728,27.875,13.341,6.729
1996,6.239,19.9,12.343,6.16
1997,7.086,14.9,11.246,7.003
1998,4.982,11.8,10.576,4.926
1999,4.524,7.3,13.133,4.505
2000,4.26,10.1,16.087,5.36
2001,1.205,5.5,18.242,1.23
2002,1.443,1.9,19.934,1.475
2003,3.562,0.842,19.643,3.627
2004,5.136,3.492,18.974,5.212
2005,3.493,2.133,17.745,3.539
2006,6.179,1.033,13.843,6.226
2007,7.035,2.492,9.604,7.124
2008,4.25,4.217,7.119,4.277
2009,2.82,3.45,8.169,2.766
2010,3.608,2.583,9.635,3.915
2011,5.017,4.267,9.632,4.907
2012,1.608,3.7,10.088,1.605
2013,1.392,0.9,10.328,1.395
2014,3.318,-0.025,8.988,3.44
2015,3.839,-0.933,7.499,3.873
2016,3.064,-0.583,6.161,3.168
2017,4.938,1.975,4.888,4.922
2018,5.148,1.6,3.846,5.138
2019,4.095,2.308,3.279,4.105
2020,-4.579,3.225,9.919,-4.519
2021,4.232,2.58,8.032,4.316
