year,gdprate,infrate,unemprate,gdppcrate
1980,6.725,5.862,7.824,5.577
1981,3.523,21.152,8.29,2.629
1982,2.163,22.73,7.457,1.541
1983,0.972,25.106,7.945,0.504
1984,-1.042,29.3,10.503,-1.422
1985,1.636,19.335,8.674,1.359
1986,3.32,11.666,8.603,3.226
1987,7.632,9.402,7.126,7.661
1988,5.34,9.58,7.069,5.45
1989,6.649,12.611,5.059,6.804
1990,7.859,13.37,4.225,8.095
1991,3.37,11.428,4.138,3.608
1992,3.13,8.863,3.86,3.21
1993,-0.687,5.93,5.127,-0.809
1994,1.489,4.971,6.34,1.216
1995,2.307,3.969,7.151,1.954
1996,3.504,2.936,7.251,3.117
1997,4.401,1.89,6.741,3.935
1998,4.808,2.215,4.937,4.28
1999,3.907,2.17,4.381,3.321
2000,3.816,2.805,3.925,3.089
2001,1.944,4.41,4.009,1.227
2002,0.771,3.701,4.995,0.221
2003,-0.931,3.237,6.264,-1.302
2004,1.789,2.51,6.623,1.545
2005,0.782,2.13,7.582,0.596
2006,1.625,3.046,7.647,1.442
2007,2.507,2.422,7.964,2.305
2008,0.319,2.652,7.552,0.175
2009,-3.122,-0.903,9.432,-3.214
2010,1.738,1.391,10.77,1.691
2011,-1.696,3.554,12.677,-1.552
2012,-4.057,2.776,15.526,-3.667
2013,-0.923,0.44,16.183,-0.378
2014,0.792,-0.16,13.894,1.337
2015,1.792,0.508,12.444,2.215
2016,2.019,0.636,11.066,2.342
2017,3.506,1.556,8.867,3.76
2018,2.637,1.168,6.994,2.802
2019,2.157,0.3,6.463,2.197
2020,-8,-0.198,13.94,-7.861
2021,5,1.35,8.685,5.187
