year,gdprate,infrate,unemprate,gdppcrate
1985,-0.1,-0.2,4,-0.551
1986,2.4,0.7,3.9,1.862
1987,0.8,1.1,3.7,0.229
1988,-0.5,2.6,3.7,-1.019
1989,-5.8,0.9,3.4,-6.139
1990,-5.612,127.9,3.4,-5.725
1991,-12.927,161.121,3.5,-12.795
1992,-8.766,210.386,5.441,-8.415
1993,1.528,256.105,9.206,2.087
1994,3.932,136.742,10.994,4.57
1995,7.138,32.272,9.882,7.778
1996,3.948,38.809,7.323,4.529
1997,-6.053,154.763,7.85,-5.552
1998,-4.818,59.097,9.611,-4.338
1999,-1.15,45.804,7.173,-0.679
2000,2.921,45.667,7.646,3.025
2001,5.218,34.454,7.331,5.344
2002,5.703,22.498,8.288,8.679
2003,2.341,15.37,7.838,3.133
2004,10.428,11.855,8.027,10.974
2005,4.668,8.995,7.153,5.347
2006,8.029,6.591,7.144,8.666
2007,7.234,4.834,6.314,7.876
2008,9.307,7.846,5.544,11.93
2009,-5.517,5.584,6.284,-4.615
2010,-3.901,6.113,6.971,-3.212
2011,2.007,5.795,7.146,2.49
2012,2.077,3.339,6.794,2.601
2013,3.515,4.002,7.096,3.907
2014,3.411,1.076,6.802,3.758
2015,3.872,-0.596,6.812,4.277
2016,4.801,-1.555,5.902,5.41
2017,7.111,1.344,4.927,7.748
2018,4.437,4.631,4.187,5.043
2019,4.078,3.825,3.912,4.751
2020,-5,2.245,10.1,-4.994
2021,3.9,1.455,6,3.906
