year,gdprate,infrate,unemprate,gdppcrate
1980,1.203,15.578,11.011,1.052
1981,-0.408,14.549,13.755,-1.345
1982,1.239,14.416,15.77,0.7
1983,1.652,12.174,17.215,1.178
1984,1.698,11.28,19.937,1.294
1985,2.362,8.815,21.305,2.002
1986,3.432,8.795,20.907,3.134
1987,5.709,5.248,20.223,5.463
1988,5.285,4.837,19.238,5.061
1989,5.004,6.791,17.24,4.795
1990,3.847,6.722,16.238,3.665
1991,2.525,5.934,16.313,2.254
1992,0.851,7.145,18.353,0.518
1993,-1.314,4.569,22.64,-1.62
1994,2.335,4.718,24.118,2.06
1995,4.122,4.674,22.9,3.879
1996,2.421,3.599,22.08,2.185
1997,3.865,1.877,20.61,3.592
1998,4.469,1.764,18.605,4.104
1999,4.745,2.235,15.64,4.207
2000,5.053,3.484,13.857,4.174
2001,3.936,3.59,10.54,3.397
2002,2.727,3.104,11.45,1.097
2003,2.984,3.039,11.485,1.098
2004,3.118,3.039,10.965,1.523
2005,3.656,3.368,9.153,1.749
2006,4.104,3.515,8.453,2.466
2007,3.602,2.787,8.233,1.597
2008,0.889,4.076,11.245,-0.751
2009,-3.769,-0.288,17.855,-4.567
2010,0.168,1.8,19.858,-0.252
2011,-0.814,3.196,21.39,-1.183
2012,-2.958,2.446,24.788,-3.02
2013,-1.437,1.409,26.095,-1.071
2014,1.382,-0.151,24.443,1.683
2015,3.837,-0.5,22.058,3.937
2016,3.028,-0.203,19.635,3.052
2017,2.895,1.956,17.225,2.875
2018,2.354,1.675,15.255,2.262
2019,1.977,0.7,14.105,1.895
2020,-8,-0.301,20.801,-8.413
2021,4.276,0.654,17.477,3.81
