year,gdprate,infrate,unemprate,gdppcrate
1980,4.555,17.452,2.7,4.367
1981,4.54,12.104,3.417,4.476
1982,1.322,8.589,4.342,1.268
1983,2.075,8.873,4.758,2.037
1984,4.403,8.044,4.233,4.252
1985,2.307,7.373,3.85,2.117
1986,2.983,4.236,3.608,2.696
1987,3.266,4.189,2.867,2.866
1988,2.455,5.825,2.35,1.912
1989,2.704,6.443,2.025,1.884
1990,0.695,3.198,2.242,-0.05
1991,-1.108,8.79,4,-1.72
1992,-0.891,1.377,7.1,-1.437
1993,-1.75,4.689,11.15,-2.347
1994,3.972,2.907,10.783,3.132
1995,3.998,2.469,10.417,3.75
1996,1.615,1.019,10.883,1.534
1997,3.099,1.818,10.875,3.063
1998,4.261,1.008,8.817,4.182
1999,4.311,0.57,7.55,4.228
2000,4.875,1.296,6.342,4.622
2001,1.468,2.68,5.825,1.168
2002,2.196,1.936,5.95,1.834
2003,2.245,2.319,6.567,1.847
2004,4.326,1.02,7.375,3.913
2005,2.896,0.836,7.642,2.482
2006,4.602,1.499,7.042,3.851
2007,3.431,1.68,6.117,2.646
2008,-0.242,3.348,6.167,-1.034
2009,-4.236,1.937,8.3,-5.101
2010,6.189,1.901,8.575,5.344
2011,3.052,1.36,7.767,2.321
2012,-0.631,0.937,7.967,-1.39
2013,1.088,0.443,8,0.155
2014,2.747,0.209,7.933,1.667
2015,4.421,0.704,7.4,3.322
2016,2.413,1.138,6.95,0.936
2017,2.412,1.867,6.683,1.146
2018,2.225,2.035,6.325,1.127
2019,1.232,1.699,6.767,0.277
2020,-6.788,0.457,10.064,-8.404
2021,5.168,1.528,8.875,4.14
