year,gdprate,infrate,unemprate,gdppcrate
1980,-2.031,16.849,7.133,-2.188
1981,-0.788,12.189,9.65,-0.837
1982,1.995,8.511,10.725,2.116
1983,4.222,5.198,11.475,4.176
1984,2.269,4.448,11.75,2.1
1985,4.147,5.16,11.375,3.88
1986,3.15,3.626,11.325,2.914
1987,5.393,4.066,10.425,5.17
1988,5.732,4.612,8.575,5.524
1989,2.578,5.216,7.225,2.288
1990,0.734,6.999,7.1,0.45
1991,-1.103,7.519,8.85,-1.449
1992,0.401,4.232,9.95,0.147
1993,2.49,2.533,10.375,2.261
1994,3.846,1.994,9.5,3.58
1995,2.531,2.63,8.625,2.243
1996,2.492,2.425,8.1,2.247
1997,3.855,1.825,6.95,3.588
1998,3.645,1.557,6.25,3.359
1999,3.428,1.329,5.975,3.06
2000,3.437,0.796,5.45,3.083
2001,2.974,1.234,5.1,2.579
2002,2.324,1.259,5.2,1.888
2003,3.286,1.362,5,2.817
2004,2.374,1.344,4.75,1.839
2005,3.18,2.057,4.825,2.389
2006,2.788,2.329,5.425,2.089
2007,2.431,2.323,5.35,1.609
2008,-0.281,3.602,5.725,-1.096
2009,-4.248,2.165,7.625,-4.92
2010,1.95,3.298,7.9,1.139
2011,1.54,4.464,8.1,0.698
2012,1.479,2.828,7.975,0.81
2013,2.14,2.565,7.575,1.501
2014,2.608,1.461,6.2,1.828
2015,2.355,0.04,5.375,1.549
2016,1.918,0.66,4.875,1.083
2017,1.892,2.683,4.425,1.287
2018,1.341,2.478,4.075,0.737
2019,1.409,1.791,3.825,0.754
2020,-6.502,1.186,4.825,-7.041
2021,4.035,1.545,4.375,3.484
