year,gdprate,infrate,unemprate,gdppcrate
1980,-0.257,13.502,7.175,-1.405
1981,2.538,10.378,7.617,1.515
1982,-1.802,6.158,9.708,-2.738
1983,4.584,3.16,9.6,3.638
1984,7.237,4.368,7.508,6.302
1985,4.169,3.528,7.192,3.248
1986,3.463,1.944,7,2.526
1987,3.46,3.578,6.175,2.54
1988,4.177,4.1,5.492,3.234
1989,3.673,4.791,5.258,2.701
1990,1.886,5.419,5.617,0.761
1991,-0.108,4.216,6.85,-1.427
1992,3.522,3.042,7.492,2.157
1993,2.753,2.97,6.908,1.422
1994,4.029,2.596,6.1,2.774
1995,2.684,2.805,5.592,1.477
1996,3.772,2.937,5.408,2.57
1997,4.447,2.338,4.942,3.206
1998,4.481,1.547,4.5,3.27
1999,4.753,2.193,4.217,3.563
2000,4.127,3.367,3.967,2.983
2001,0.999,2.817,4.742,-0.035
2002,1.742,1.596,5.783,0.751
2003,2.861,2.298,5.992,1.901
2004,3.799,2.668,5.542,2.859
2005,3.513,3.366,5.083,2.56
2006,2.855,3.222,4.608,1.886
2007,1.876,2.871,4.617,0.873
2008,-0.137,3.815,5.8,-1.059
2009,-2.537,-0.32,9.283,-3.379
2010,2.564,1.637,9.608,1.783
2011,1.551,3.14,8.933,0.839
2012,2.249,2.073,8.075,1.533
2013,1.842,1.466,7.358,1.151
2014,2.526,1.615,6.158,1.796
2015,2.908,0.121,5.275,2.174
2016,1.638,1.261,4.875,0.923
2017,2.37,2.138,4.342,1.725
2018,2.927,2.44,3.892,2.379
2019,2.334,1.812,3.667,1.842
2020,-5.907,0.62,10.36,-6.435
2021,4.739,2.238,9.135,4.135
